,Year,Trading Week,Week Open,Week Close,Classification
0,2018,0,99.3,100.13,GREEN
1,2018,1,100.25,100.87,RED
2,2018,2,101.34,104.59,GREEN
3,2018,3,104.5,108.39,GREEN
4,2018,4,108.11,104.48,RED
5,2018,5,103.4,99.37,RED
6,2018,6,100.13,104.78,GREEN
7,2018,7,96.99,92.89,RED
8,2018,8,92.9,88.77,RED
9,2018,9,88.14,88.72,RED
10,2018,10,88.7,89.17,RED
11,2018,11,88.91,85.42,RED
12,2018,12,86.22,88.97,RED
13,2018,13,88.0,86.69,GREEN
14,2018,14,86.85,86.02,RED
15,2018,15,86.2,86.98,GREEN
16,2018,16,86.89,87.29,GREEN
17,2018,17,87.94,87.53,RED
18,2018,18,87.49,83.38,RED
19,2018,19,83.89,83.64,RED
20,2018,20,84.14,82.46,RED
21,2018,21,81.96,82.99,RED
22,2018,22,83.5,84.36,RED
23,2018,23,84.41,83.7,RED
24,2018,24,83.05,84.82,GREEN
25,2018,25,84.59,85.65,RED
26,2018,26,85.65,84.51,GREEN
27,2018,27,85.0,87.7,RED
28,2018,28,87.62,88.06,RED
29,2018,29,87.65,88.13,GREEN
30,2018,30,88.0,89.6,RED
31,2018,31,89.31,90.18,RED
32,2018,32,90.2,97.85,GREEN
33,2018,33,97.67,94.95,RED
34,2018,34,95.26,95.86,GREEN
35,2018,35,95.8,95.83,GREEN
36,2018,36,96.11,94.59,RED
37,2018,37,94.75,95.9,RED
38,2018,38,95.44,93.91,RED
39,2018,39,94.29,93.31,RED
40,2018,40,93.25,94.81,RED
41,2018,41,94.5,97.15,GREEN
42,2018,42,97.34,98.94,RED
43,2018,43,99.51,101.34,RED
44,2018,44,101.19,105.56,GREEN
45,2018,45,105.5,97.69,RED
46,2018,46,97.94,95.1,RED
47,2018,47,95.69,97.65,GREEN
48,2018,48,98.02,93.19,RED
49,2018,49,93.56,91.85,RED
50,2018,50,91.22,87.13,RED
51,2018,51,86.54,92.13,GREEN
52,2018,52,92.67,93.15,RED
53,2019,0,91.64,93.44,RED
54,2019,1,93.62,94.84,RED
55,2019,2,94.48,97.73,GREEN
56,2019,3,97.15,96.94,RED
57,2019,4,96.53,93.86,RED
58,2019,5,93.86,95.58,GREEN
59,2019,6,95.65,99.99,GREEN
60,2019,7,102.38,99.55,RED
61,2019,8,100.12,97.93,RED
62,2019,9,98.12,97.59,RED
63,2019,10,98.04,98.42,RED
64,2019,11,98.3,98.28,RED
65,2019,12,97.8,97.53,RED
66,2019,13,97.97,98.83,RED
67,2019,14,98.45,101.56,RED
68,2019,15,101.3,103.18,GREEN
69,2019,16,102.78,101.53,RED
70,2019,17,101.88,102.08,RED
71,2019,18,100.75,101.91,RED
72,2019,19,100.45,100.86,GREEN
73,2019,20,100.39,102.67,RED
74,2019,21,102.56,101.44,RED
75,2019,22,101.63,106.06,GREEN
76,2019,23,106.48,109.07,GREEN
77,2019,24,109.12,111.13,GREEN
78,2019,25,111.49,110.49,RED
79,2019,26,111.3,111.98,GREEN
80,2019,27,111.92,114.6,GREEN
81,2019,28,114.67,113.9,RED
82,2019,29,114.1,113.02,RED
83,2019,30,112.84,109.4,RED
84,2019,31,108.0,107.28,GREEN
85,2019,32,106.72,112.99,GREEN
86,2019,33,114.35,110.83,RED
87,2019,34,111.56,114.26,GREEN
88,2019,35,113.68,114.73,RED
89,2019,36,114.5,117.43,RED
90,2019,37,116.54,116.98,GREEN
91,2019,38,116.61,118.45,GREEN
92,2019,39,118.67,118.16,RED
93,2019,40,118.1,120.24,GREEN
94,2019,41,119.85,119.14,RED
95,2019,42,119.3,119.04,RED
96,2019,43,119.25,117.62,RED
97,2019,44,118.4,119.44,GREEN
98,2019,45,118.7,118.87,GREEN
99,2019,46,118.45,119.36,RED
100,2019,47,120.0,119.09,RED
101,2019,48,119.15,119.78,RED
102,2019,49,119.57,120.29,RED
103,2019,50,120.42,120.29,RED
104,2019,51,120.2,119.59,GREEN
105,2019,52,119.8,118.84,RED
